degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,vk_size,proof_time,proof_size,verify_time
19,1,0,1,18,88,3,22.722688247s,960,19.790776ms
18,2,1,1,17,88,3,9.084222837s,1344,5.843822ms
17,4,1,1,16,88,3,9.217765841s,1920,16.947784ms
16,9,2,1,15,90,3,9.513926882s,3776,4.419874ms
15,17,3,1,14,90,3,5.610604224s,6560,48.731739ms
14,36,6,1,13,91,3,8.662687401s,13280,9.421286ms
13,71,12,1,12,88,3,16.448750879s,25792,11.80489ms
