degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,vk_size,proof_time,proof_size,verify_time
19,1,0,1,18,88,3,224,15.529735375s,1152,3.754791ms
18,2,1,1,17,88,3,352,10.09030375s,1760,4.063084ms
17,3,1,1,16,88,3,448,6.291696417s,2304,4.118667ms
16,7,2,1,15,88,3,832,5.65303025s,4544,5.882042ms
15,13,3,1,14,88,3,1568,4.833458042s,8032,7.324375ms
14,26,6,1,13,88,3,2976,4.82453375s,15584,14.091ms
13,51,12,1,12,88,3,5664,5.143381833s,31744,20.404208ms
