degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,batch_size,window_bits,proof_time,proof_size,verify_time
17,96,12,1,16,88,3,100,4,55.359685208s,33056,16.616291ms
18,48,6,1,17,88,3,100,4,56.804897958s,16736,9.73825ms
19,24,3,1,18,90,3,100,4,55.109984666s,8512,5.95275ms
20,12,2,1,19,90,3,100,4,66.470086708s,4704,4.15875ms
21,6,1,1,20,88,3,100,4,77.796522208s,2496,3.584458ms
